search_stage,dataset_id,dataset_label,source_path,profile_id,family,description,preselection_method,seed,is_baseline,requested_drop_low_tail_models_quantile,requested_min_item_sd,requested_max_item_mean,requested_min_abs_point_biserial,requested_min_models_per_item,requested_min_item_coverage
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,7,True,,,0.99,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,11,True,,,0.99,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,baseline_current,current_saved_setup,current saved compact comparison setup,random_cv,19,True,,,0.99,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,baseline_current,current_saved_setup,current saved compact comparison setup,deterministic_info,7,True,,,0.99,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,baseline_current,current_saved_setup,current saved compact comparison setup,deterministic_info,11,True,,,0.99,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,baseline_current,current_saved_setup,current saved compact comparison setup,deterministic_info,19,True,,,0.99,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,psychometric_default,psychometric_default,restore the psychometric ceiling and discrimination filters on the compact fixture,random_cv,7,False,,,0.95,0.05,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,psychometric_default,psychometric_default,restore the psychometric ceiling and discrimination filters on the compact fixture,random_cv,11,False,,,0.95,0.05,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,psychometric_default,psychometric_default,restore the psychometric ceiling and discrimination filters on the compact fixture,random_cv,19,False,,,0.95,0.05,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,psychometric_default,psychometric_default,restore the psychometric ceiling and discrimination filters on the compact fixture,deterministic_info,7,False,,,0.95,0.05,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,psychometric_default,psychometric_default,restore the psychometric ceiling and discrimination filters on the compact fixture,deterministic_info,11,False,,,0.95,0.05,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,psychometric_default,psychometric_default,restore the psychometric ceiling and discrimination filters on the compact fixture,deterministic_info,19,False,,,0.95,0.05,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,no_low_tail,low_tail_toggle,disable low-tail model trimming,random_cv,7,False,0.0,,0.99,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,no_low_tail,low_tail_toggle,disable low-tail model trimming,random_cv,11,False,0.0,,0.99,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,no_low_tail,low_tail_toggle,disable low-tail model trimming,random_cv,19,False,0.0,,0.99,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,no_low_tail,low_tail_toggle,disable low-tail model trimming,deterministic_info,7,False,0.0,,0.99,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,no_low_tail,low_tail_toggle,disable low-tail model trimming,deterministic_info,11,False,0.0,,0.99,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,no_low_tail,low_tail_toggle,disable low-tail model trimming,deterministic_info,19,False,0.0,,0.99,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,random_cv,7,False,,,0.95,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,random_cv,11,False,,,0.95,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,random_cv,19,False,,,0.95,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,deterministic_info,7,False,,,0.95,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,deterministic_info,11,False,,,0.95,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,ceiling_strict,ceiling_variants,use the stricter 0.95 near-ceiling threshold without re-enabling discrimination,deterministic_info,19,False,,,0.95,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,ceiling_off,ceiling_variants,turn the near-ceiling filter off,random_cv,7,False,,,1.0,0.0,10,
compact_broad,compact_validation_fixture,compact validation fixture,tests/data/compact_validation/responses_long.csv,ceiling_off,ceiling_variants,turn the near-ceiling filter off,random_cv,11,False,,,1.0,0.0,10,
